org,id,login,name,type,site_admin,created_at,updated_at
financial-times,121219,alexmuller,Alex Muller,User,False,2009-08-30 20:30:12+00:00,2025-07-31 13:14:22+00:00
financial-times,68009,alicebartlett,Alice Bartlett,User,False,2009-03-27 23:00:16+00:00,2024-12-13 21:08:56+00:00
financial-times,631757,apaleslimghost,Kara Brightwell,User,False,2011-02-22 11:22:26+00:00,2025-06-17 21:39:25+00:00
financial-times,84996,commuterjoy,Matt Chadburn,User,False,2009-05-15 16:08:05+00:00,2025-07-08 08:42:13+00:00
financial-times,44810431,dereknahman,kirsty,User,False,2018-11-06 14:59:23+00:00,2025-02-07 16:22:32+00:00
financial-times,62282069,hannahtesfay,Hannah,User,False,2020-03-17 08:31:08+00:00,2025-07-28 06:29:09+00:00
financial-times,5721977,j-mes,James Loveridge,User,False,2013-10-18 22:13:08+00:00,2025-07-10 06:37:18+00:00
financial-times,1705375,jamesnicholls,James Nicholls,User,False,2012-05-04 09:58:35+00:00,2025-04-09 13:20:52+00:00
financial-times,893208,joelcarr,Joel Carr,User,False,2011-07-04 10:01:16+00:00,2025-07-01 19:38:55+00:00
financial-times,684559,kavanagh,Luke Kavanagh,User,False,2011-03-22 19:35:19+00:00,2025-05-25 14:00:45+00:00
financial-times,3425322,lc512k,Laura Carvajal,User,False,2013-01-30 07:51:27+00:00,2025-07-19 11:24:12+00:00
financial-times,27081787,metart43,Artem Metelskyi,User,False,2017-04-08 17:10:10+00:00,2025-07-31 17:29:11+00:00
financial-times,1771189,ob6160,Oliver Barnwell,User,False,2012-05-23 18:47:53+00:00,2025-07-17 23:51:04+00:00
financial-times,138944,rowanmanning,Rowan Manning,User,False,2009-10-12 23:04:50+00:00,2025-08-01 16:16:07+00:00
flatwaterfreepress,6231574,bvankat,Ben Vankat,User,False,2013-12-20 15:42:22+00:00,2023-08-21 19:32:49+00:00
folhasp,276068,MarioBDourado,Mario Dourado,User,False,2010-05-14 00:09:34+00:00,2025-07-17 19:27:55+00:00
folhasp,2536588,mmorote,Marcelo Morote,User,False,2012-10-11 11:57:23+00:00,2025-03-04 17:41:35+00:00
francetv,1399824,FloValence,Florian M Valence,User,False,2012-02-01 23:38:37+00:00,2025-07-28 07:47:49+00:00
francetv,1724323,gpostaire,,User,False,2012-05-09 21:04:25+00:00,2023-10-06 14:03:33+00:00
francetv,1151996,warchimede,William Archimede,User,False,2011-10-25 23:01:47+00:00,2025-07-28 10:35:22+00:00
freedomofpress,67073,almet,Alexis Métaireau,User,False,2009-03-25 15:32:25+00:00,2025-06-22 01:56:08+00:00
freedomofpress,357435,cfm,Cory Francis Myers,User,False,2010-08-08 02:04:30+00:00,2025-07-28 23:23:00+00:00
freedomofpress,213636,eloquence,Erik Moeller,User,False,2010-03-02 03:26:03+00:00,2025-07-14 05:09:59+00:00
freedomofpress,72914,huertanix,David Huerta,User,False,2009-04-12 05:47:48+00:00,2025-06-10 18:27:12+00:00
freedomofpress,81392,legoktm,Kunal Mehta,User,False,2009-05-05 21:36:43+00:00,2025-07-14 14:16:01+00:00
freedomofpress,66009328,lsd-cat,giulio,User,False,2020-05-27 10:01:37+00:00,2025-07-29 06:11:44+00:00
freedomofpress,8262612,ninavizz,Nina Eleanor Alter,User,False,2014-07-25 01:01:52+00:00,2025-07-19 04:16:10+00:00
ft-interactive,185041,aendra-rininsland,Ændra Rininsland,User,False,2010-01-19 00:44:42+00:00,2025-04-28 11:29:42+00:00
ft-interactive,893208,joelcarr,Joel Carr,User,False,2011-07-04 10:01:16+00:00,2025-07-01 19:38:55+00:00
ft-interactive,684559,kavanagh,Luke Kavanagh,User,False,2011-03-22 19:35:19+00:00,2025-05-25 14:00:45+00:00
ft-interactive,998519,martinstabe,Martin Stabe,User,False,2011-08-23 09:29:59+00:00,2025-07-24 10:24:46+00:00
ft-interactive,27081787,metart43,Artem Metelskyi,User,False,2017-04-08 17:10:10+00:00,2025-07-31 17:29:11+00:00
globocom,13981690,KalilCazes,Kalil Cazes,User,False,2015-08-26 12:56:52+00:00,2025-05-01 02:15:01+00:00
globocom,813448,SergioJorge,Sergio Jorge,User,False,2011-05-27 02:36:04+00:00,2025-06-22 17:29:17+00:00
globocom,385421,andreribeirocoelho,André Coelho,User,False,2010-09-02 16:34:34+00:00,2025-07-29 01:19:36+00:00
globocom,167967,arouca,Marcos Paulo Arouca Pereira,User,False,2009-12-15 16:40:30+00:00,2025-06-17 20:54:10+00:00
