org,repo_name,full_name,id,login,user_name,contributions
BBC-Data-Unit,business-rates,BBC-Data-Unit/business-rates,32837535,Alex-Homer,,18
BBC-Data-Unit,business-rates,BBC-Data-Unit/business-rates,60131983,annaekhoo,,5
BBC-Data-Unit,cafeculture,BBC-Data-Unit/cafeculture,16541899,petesherlock,,6
BBC-Data-Unit,cancelled_crimes,BBC-Data-Unit/cancelled_crimes,32837535,Alex-Homer,,8
BBC-Data-Unit,cervical-screening,BBC-Data-Unit/cervical-screening,633839,paulbradshaw,Paul Bradshaw,6
BBC-Data-Unit,child-protection-plans,BBC-Data-Unit/child-protection-plans,633839,paulbradshaw,Paul Bradshaw,5
BBC-Data-Unit,child-speech,BBC-Data-Unit/child-speech,633839,paulbradshaw,Paul Bradshaw,33
BBC-Data-Unit,children-seeking-asylum,BBC-Data-Unit/children-seeking-asylum,16936426,BBCdataunit,BBC Data Unit,17
BBC-Data-Unit,christmas-dinner,BBC-Data-Unit/christmas-dinner,633839,paulbradshaw,Paul Bradshaw,8
BBC-Data-Unit,christmas-traffic-2017,BBC-Data-Unit/christmas-traffic-2017,633839,paulbradshaw,Paul Bradshaw,2
BBC-Data-Unit,christmas-traffic-2018,BBC-Data-Unit/christmas-traffic-2018,633839,paulbradshaw,Paul Bradshaw,9
BBC-Data-Unit,christmas-traffic-2019,BBC-Data-Unit/christmas-traffic-2019,633839,paulbradshaw,Paul Bradshaw,5
BBC-Data-Unit,civil-partnerships,BBC-Data-Unit/civil-partnerships,633839,paulbradshaw,Paul Bradshaw,3
BBC-Data-Unit,community-resolutions,BBC-Data-Unit/community-resolutions,32837535,Alex-Homer,,29
BBC-Data-Unit,coronavirus-birthdays,BBC-Data-Unit/coronavirus-birthdays,633839,paulbradshaw,Paul Bradshaw,4
BBC-Data-Unit,coronavirus-business-funding,BBC-Data-Unit/coronavirus-business-funding,633839,paulbradshaw,Paul Bradshaw,3
BBC-Data-Unit,coronavirus-care-home-deaths-liveblog,BBC-Data-Unit/coronavirus-care-home-deaths-liveblog,633839,paulbradshaw,Paul Bradshaw,4
BBC-Data-Unit,coronavirus-crowdfundingpubs,BBC-Data-Unit/coronavirus-crowdfundingpubs,32837535,Alex-Homer,,3
BBC-Data-Unit,coronavirus-crowdfundingpubs,BBC-Data-Unit/coronavirus-crowdfundingpubs,633839,paulbradshaw,Paul Bradshaw,7
BBC-Data-Unit,coronavirus-deaths-dates,BBC-Data-Unit/coronavirus-deaths-dates,633839,paulbradshaw,Paul Bradshaw,6
BBC-Data-Unit,coronavirus-deliveries,BBC-Data-Unit/coronavirus-deliveries,633839,paulbradshaw,Paul Bradshaw,3
BBC-Data-Unit,coronavirus-grants,BBC-Data-Unit/coronavirus-grants,32837535,Alex-Homer,,5
BBC-Data-Unit,coronavirus-grants,BBC-Data-Unit/coronavirus-grants,60131983,annaekhoo,,6
BBC-Data-Unit,coronavirus-grants,BBC-Data-Unit/coronavirus-grants,633839,paulbradshaw,Paul Bradshaw,6
